username,full_name,instagram_id,category,biography,followers,following,is_private,is_business,is_verified,media_count,fb_page_id,fb_page_name,profile_pic_url,external_url,bio_links
marie.travel.world,MARIE S. | TRAVEL CREATOR |  ✈,3159902241,Digital creator,"| TRAVEL | HOTELS | LANDSCAPES |  
☼ Switzerland, LS📍🇨🇭
✧ Around the world🌍 
⤷ Travel agent
ღ Brand ambassador @julienneswim",7927,1364,False,False,False,665,None,,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/335657831_163002989907009_6237907920066297381_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=bbSy2vMCzVcQ7kNvgGenBpq&edm=AKralEIBAAAA&ccb=7-5&oh=00_AYAE7vOah1JilMZ1q5clihmnQICIC1Yc2UGBRKEGNoOaEw&oe=66807B0E&_nc_sid=2fe71f,https://linktr.ee/marie.travel.world,['https://linktr.ee/marie.travel.world']
treasure,Travel | Adventure,3185437570,Brand,"🌍 Unleashing hidden @treasure
💼 Follow us for the best vacation spots! #treasure
📥 DM for business inquiries",1629266,184,False,True,False,1239,None,,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/331923159_901890434293555_2009989145972438154_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=cVgK2WqpCOcQ7kNvgEs3tXj&edm=AKralEIBAAAA&ccb=7-5&oh=00_AYCvnT0ylhxOCBWR8qss-zzmupli2yZc0E51bDjp032Eqg&oe=66807D65&_nc_sid=2fe71f,,[]
eexploreworld,Explore world,57820138238,Personal blog,"Traveling is so much more than a destination🌎 
🏝️love nature🏜️
🚀love adventure 
🏖️ it’s a way of living. 🧳🪂
#travel#nature#worldtravel",4476,3069,False,False,False,432,None,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-19/330083646_2258412037680993_5748305958590793707_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=KUk1T_fI2wAQ7kNvgFoXVlK&edm=AKralEIBAAAA&ccb=7-5&oh=00_AYCxwgiH1IxRXDXAUVmGK3SDfUenvQhrs7M_WMRSrKJBwA&oe=6680687C&_nc_sid=2fe71f,,[]
beutefullplacee,Beautiful Place,47548556576,Video creator,"🏞️ Welcome To Nature Lovers 
🌎Traveling In The World 
💌 Dm or Email for Credit/ Removal",3329024,46,False,False,False,1494,105461281821823,Beutefullplacee,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/266810674_1014146565800470_5100932711490006974_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=1&_nc_ohc=CCr2kdcPM-gQ7kNvgHpWchS&edm=AKralEIBAAAA&ccb=7-5&oh=00_AYB9MsqHJQvsj35x7YKE2axxM8PFUozMXlpufYNWZ6Mx4g&oe=66804620&_nc_sid=2fe71f,,[]
